"H","diameter","albedo","e","a","q","i","om","w","ma","ad","n","per_y","data_arc","n_obs_used"
15.55,4.135,0.086,0.169153800872947,2.66531653953347,2.21446811634185,11.3416269659148,195.567480020952,101.882466964141,157.114149350616,3.11616496272508,0.22650661112839,4.35142390969276,8775,1553
15.11,5.273,0.076,0.0205871125080609,2.76815286320263,2.71116458876837,7.65582249391891,161.21985686529,79.2618458688172,235.537535723385,2.8251411376369,0.214002560804224,4.60567518287427,16497,1882
15.31,2.253,0.317,0.19009866857333,2.62398342112806,2.12516766641312,32.5675201755453,6.96925627326774,36.411329693388,351.43252944169,3.12279917584299,0.231879547272437,4.25059603126418,9999,1042
13.72,4.846,0.227,0.158718569689399,2.60258969132078,2.18951037802597,13.7155684905297,32.9497539911978,34.9076331368472,3.29541029734375,3.01566900461559,0.234744548850289,4.19871851420989,26025,3297
16.54,3.45,0.071,0.230655453918426,2.77188991411332,2.13253838776161,16.7491440250777,33.7774003013545,233.651583457752,155.502733935749,3.41124144046504,0.213569930607211,4.61500493335028,10816,260
15.87,5.584,0.03,0.164105200449152,3.20203820515619,2.67656708365319,14.1894893103365,29.9967817156358,135.452050589932,37.441352229642,3.7275093266592,0.172014203888876,5.72991218797425,8415,381
15.71,4.588,0.053,0.222235915570765,3.12859354328136,2.43330769274144,17.2245202262834,67.7487677673788,274.689803902188,332.528746791107,3.82387939382127,0.178106740952044,5.53390780213615,8090,482
16.19,3.521,0.047,0.277777654942417,3.16933278604195,2.2889629570031,29.8174804132255,39.1288220459101,19.3967586492875,1.30893890738481,4.04970261508079,0.17468367051119,5.6423492847571,10108,205
14.6,6.997,0.063,0.0290712733654692,3.0654276757566,2.9763117898126,19.8158293916775,292.233166488884,90.1699867229725,240.542171656283,3.15454356170059,0.183640075576456,5.36716335077527,12166,1154
17.15,1.645,0.124,0.180676718377917,2.55872508006277,2.09642302936576,10.1837825959535,100.348884058387,333.627788520067,355.996993776788,3.02102713075979,0.240806738086297,4.09301787483348,8706,228
15.19,5.578,0.052,0.0381024470138241,3.18143326451342,3.06021287212428,11.4617048314687,138.547570335858,143.279259424442,291.660056417294,3.30265365690256,0.173688013219863,5.67469375172081,10172,1047
15.87,3.624,0.059,0.253189293056623,2.53836648755368,1.89567927105134,12.9257743206378,268.678479840729,182.287107059888,142.042181391124,3.18105370405601,0.243709571322127,4.04426579563751,8884,1391
12.56,20.606,0.046,0.113379446464654,3.12489677169797,2.77059770546367,14.2153864537542,229.545308269685,192.453378701842,81.5633083680958,3.47919583793228,0.178422886417246,5.5241023343981,18828,7108
15.01,2.995,0.216,0.210398069726493,2.29482227285493,1.81199609628089,5.38187181603262,76.1335352932605,214.151566305965,38.9488994803014,2.77764844942898,0.283517903869111,3.47641637412282,17478,2262
15.39,5.266,0.053,0.102757116076613,3.04632186069678,2.73329061165043,1.59209410786896,19.1148773731258,288.013668109644,262.001579702216,3.35935310974312,0.185370402679205,5.31706393859025,12561,834
15.11,5.415,0.066,0.0389718213826486,3.23927215581659,3.11303181995032,22.5464741900295,35.55263577218,165.46956481705,54.1773110586111,3.36551249168286,0.169056906219469,5.83014504055823,8471,586
16.52,3.743,0.055,0.225471121883221,3.19648242764499,2.47576794860387,25.8513438050124,343.168727451514,303.188678234299,278.181651066106,3.91719690668611,0.172462863223872,5.71500591456681,5804,122
14.37,8.097,0.047,0.0616207079645382,2.34082501303823,2.19658171851372,3.35293538281304,160.960804253209,355.857133541152,250.1465484991,2.48506830756275,0.275201406818018,3.58147254682938,25918,4305
16.92,2.919,0.036,0.0720780495678297,2.71580984093085,2.52005956459944,5.08588175662588,7.31142693695091,106.924301004729,94.0801943090771,2.91156011726226,0.220219127360811,4.47566156118986,8969,271
